alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
13.000,0.5154,0.15919,0.12092,-0.0113,0.2565,1.0000,47.0040,160.0000
13.100,0.4990,0.15809,0.12072,-0.0114,0.2559,1.0000,47.0465,160.0000
13.200,0.4844,0.15704,0.12061,-0.0115,0.2542,1.0000,47.1505,160.0000
13.300,0.4771,0.15686,0.12105,-0.0117,0.2508,1.0000,47.3627,160.0000
13.400,0.4778,0.15769,0.12207,-0.0117,0.2470,1.0000,47.6034,160.0000
13.500,0.4866,0.15967,0.12367,-0.0116,0.2434,1.0000,47.8275,160.0000
13.600,0.5180,0.16623,0.12758,-0.0117,0.2407,1.0000,48.0016,160.0000
13.700,0.5009,0.16451,0.12717,-0.0118,0.2400,1.0000,48.0418,160.0000
13.800,0.4870,0.16299,0.12713,-0.0121,0.2385,1.0000,48.1394,160.0000
13.900,0.4804,0.16256,0.12773,-0.0124,0.2356,1.0000,48.3237,160.0000
14.000,0.4797,0.16306,0.12869,-0.0125,0.2325,1.0000,48.5172,160.0000
14.100,0.4829,0.16422,0.12994,-0.0126,0.2296,1.0000,48.7008,160.0000
14.200,0.4940,0.16693,0.13183,-0.0124,0.2267,1.0000,48.8832,160.0000
14.300,0.5111,0.17189,0.13451,-0.0125,0.2246,1.0000,49.0166,160.0000
14.400,0.4975,0.16984,0.13446,-0.0128,0.2238,1.0000,49.0668,160.0000
14.500,0.4865,0.16822,0.13458,-0.0132,0.2220,1.0000,49.1838,160.0000
14.600,0.4822,0.16796,0.13530,-0.0134,0.2189,1.0000,49.3806,160.0000
14.700,0.4832,0.16867,0.13640,-0.0135,0.2156,1.0000,49.5900,160.0000
14.800,0.4892,0.17030,0.13786,-0.0135,0.2125,1.0000,49.7885,160.0000
14.900,0.5127,0.17645,0.14103,-0.0133,0.2096,1.0000,49.9757,160.0000
15.000,0.5102,0.17703,0.14204,-0.0136,0.2088,1.0000,50.0243,160.0000
15.100,0.4980,0.17491,0.14210,-0.0140,0.2080,1.0000,50.0798,160.0000
15.200,0.4899,0.17376,0.14260,-0.0145,0.2061,1.0000,50.1993,160.0000
15.300,0.4872,0.17381,0.14356,-0.0149,0.2035,1.0000,50.3672,160.0000
15.400,0.4878,0.17450,0.14475,-0.0151,0.2009,1.0000,50.5345,160.0000
15.500,0.4907,0.17562,0.14608,-0.0152,0.1985,1.0000,50.6891,160.0000
15.600,0.4970,0.17749,0.14765,-0.0152,0.1962,1.0000,50.8341,160.0000
15.700,0.5246,0.18561,0.15136,-0.0148,0.1937,1.0000,50.9983,160.0000
15.800,0.5136,0.18353,0.15154,-0.0153,0.1933,1.0000,51.0266,160.0000
15.900,0.5035,0.18169,0.15191,-0.0159,0.1924,1.0000,51.0800,160.0000
16.000,0.4968,0.18068,0.15264,-0.0165,0.1907,1.0000,51.1950,160.0000
16.100,0.4946,0.18077,0.15371,-0.0170,0.1881,1.0000,51.3651,160.0000
16.200,0.4956,0.18148,0.15497,-0.0172,0.1853,1.0000,51.5432,160.0000
16.300,0.4990,0.18267,0.15635,-0.0173,0.1827,1.0000,51.7132,160.0000
16.400,0.5067,0.18494,0.15801,-0.0172,0.1803,1.0000,51.8700,160.0000
16.500,0.5298,0.19249,0.16136,-0.0168,0.1783,1.0000,52.0020,160.0000
16.600,0.5198,0.19038,0.16171,-0.0174,0.1779,1.0000,52.0278,160.0000
16.700,0.5115,0.18877,0.16234,-0.0181,0.1772,1.0000,52.0762,160.0000
16.800,0.5060,0.18796,0.16327,-0.0188,0.1757,1.0000,52.1704,160.0000
16.900,0.5040,0.18806,0.16446,-0.0193,0.1737,1.0000,52.3054,160.0000
17.000,0.5043,0.18868,0.16578,-0.0197,0.1715,1.0000,52.4474,160.0000
17.100,0.5060,0.18959,0.16717,-0.0200,0.1695,1.0000,52.5833,160.0000
17.200,0.5089,0.19076,0.16861,-0.0202,0.1675,1.0000,52.7105,160.0000
17.300,0.5140,0.19249,0.17016,-0.0202,0.1657,1.0000,52.8312,160.0000
17.400,0.5253,0.19630,0.17225,-0.0199,0.1639,1.0000,52.9484,160.0000
17.500,0.5336,0.20006,0.17444,-0.0201,0.1630,1.0000,53.0129,160.0000
17.600,0.5256,0.19826,0.17511,-0.0208,0.1625,1.0000,53.0448,160.0000
